title,company,location,salary,skills,url,skills_normalized
Staff Accounting,PT. Utomodeck Metal Works,Genteng,"Rp 4,7 jt-5 jt",,https://glints.com/id/opportunities/jobs/staff-accounting/08d3cde5-5db1-43da-aa14-3a3446613a5d?utm_referrer=explore&traceInfo=b9f8fbb4-0ad6-4ced-b127-a140b53f0d62,
Staff Accounting,PT Jaya Pondasi Nusantara,Medan Helvetia,"Rp 3 jt-3,2 jt",,https://glints.com/id/opportunities/jobs/staff-accounting/3e5dd6cc-aa77-4096-91d5-786097216691?utm_referrer=explore&traceInfo=b9f8fbb4-0ad6-4ced-b127-a140b53f0d62,
Staff Accounting,Yayasan Taruna Peradaban Semesta,Panyileukan,"Rp 2,6 jt-3,9 jt",,https://glints.com/id/opportunities/jobs/staff-accounting/87229ed9-7882-48ea-8e89-db7802f3f3e6?utm_referrer=explore&traceInfo=b9f8fbb4-0ad6-4ced-b127-a140b53f0d62,
Staff Accounting,Bakoel Koffie,Pondok Aren,Tidak Ditampilkan,,https://glints.com/id/opportunities/jobs/staff-accounting/57e61d43-b25b-4c24-ac8e-f117a75466df?utm_referrer=explore&traceInfo=b9f8fbb4-0ad6-4ced-b127-a140b53f0d62,
Staff Accounting,PT.WINTOM INTELLIGENT SOLUSI (创明智能窗帘),Legok,"Rp 3 jt-3,5 jt",,https://glints.com/id/opportunities/jobs/staff-accounting/eee629c0-30fc-4072-8961-6df31556e370?utm_referrer=explore&traceInfo=b9f8fbb4-0ad6-4ced-b127-a140b53f0d62,
STAFF ACCOUNTING,PT Duta Kekar Plasindo,Kalijambe,Tidak Ditampilkan,,https://glints.com/id/opportunities/jobs/staff-accounting/3a8e89c4-e06f-4a93-a7a8-b05202dd3fa8?utm_referrer=explore&traceInfo=b9f8fbb4-0ad6-4ced-b127-a140b53f0d62,
Staff Accounting,DIMPOT,Tambora,Tidak Ditampilkan,,https://glints.com/id/opportunities/jobs/staff-accounting/d1236d07-7942-4d79-bd62-594bb911e392?utm_referrer=explore&traceInfo=b9f8fbb4-0ad6-4ced-b127-a140b53f0d62,
Staff Accounting,PT Sinshe Tekno Indonesia,Cengkareng,Rp 5 jt-6 jt,,https://glints.com/id/opportunities/jobs/staff-accounting/47150e79-e2d5-47c6-b3d5-16ac9738b6f0?utm_referrer=explore&traceInfo=b9f8fbb4-0ad6-4ced-b127-a140b53f0d62,
Staff Akuntansi,PT KJL Plastic Indonesia,Balaraja,Rp 4 jt-5 jt,,https://glints.com/id/opportunities/jobs/staff-akuntansi/8fd122cf-4157-49a2-ba87-9c09dc32f1a3?utm_referrer=explore&traceInfo=b9f8fbb4-0ad6-4ced-b127-a140b53f0d62,
Accounting / Staff Akuntansi,Elope Official,Lakarsantri,Rp 2 jt-3 jt,,https://glints.com/id/opportunities/jobs/accounting-staff-akuntansi/8497306e-cd40-43eb-ad1e-e433e83541f3?traceInfo=b9f8fbb4-0ad6-4ced-b127-a140b53f0d62,
Staff Accounting/Admin Akuntansi,Kharisma Adhi Mulia,Cengkareng,"Rp 3,1 jt-4,6 jt",,https://glints.com/id/opportunities/jobs/staff-accounting-admin-akuntansi/c80a14d9-e62e-4aab-8380-92ac680739aa?traceInfo=b9f8fbb4-0ad6-4ced-b127-a140b53f0d62,
STAF ACCOUNTING,ASSYIFA FARMA GROUP INDONESIA,Jombang,Tidak Ditampilkan,,https://glints.com/id/opportunities/jobs/staf-accounting/304995dc-7f75-445e-bb5b-0a4da4f6575a?traceInfo=b9f8fbb4-0ad6-4ced-b127-a140b53f0d62,
STAFF ACCOUNTING,RAJA EMAS INDONESIA,Gambir,"Rp 5,5 jt-6 jt",,https://glints.com/id/opportunities/jobs/staff-accounting/12123d10-0745-486d-9bbc-ae01a5dcce80?traceInfo=b9f8fbb4-0ad6-4ced-b127-a140b53f0d62,
Tax Staff (Staf Pajak),SC Advisory,Cengkareng,Rp 4 jt-6 jt,,https://glints.com/id/opportunities/jobs/tax-staff-staf-pajak/0493d4c5-55d6-40ff-8bad-40dd219b90a8?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
Staff Pajak (Tax Staff),GRAHA MULTI BINTANG,Salahutu,"Rp 3,3 jt-3,5 jt",,https://glints.com/id/opportunities/jobs/staff-pajak-tax-staff/852254be-c01e-46d1-8a8f-e20e7663b380?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
STAFF PAJAK (TAX),Armey Floristry,Serengan,"Rp 2,5 jt-3 jt",,https://glints.com/id/opportunities/jobs/staff-pajak-tax/362dac30-4cfb-43b5-bf94-5cd858a41cc9?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
Staf Pajak,PT Herba Emas Wahidatama,Purbalingga,"Rp 2,5 jt",,https://glints.com/id/opportunities/jobs/staf-pajak/6ee81c68-0f5a-4999-b25f-8e8e8415eab8?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
staff pajak,PT Meico Consultant Indonesia,Penjaringan,Rp 4 jt-5 jt,,https://glints.com/id/opportunities/jobs/staff-pajak/a5be64bb-e1ef-4b80-aa31-fe2b8ac1a021?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
Staff Pajak,PT Mulya Kencana Metalindo,Astana Anyar,Tidak Ditampilkan,,https://glints.com/id/opportunities/jobs/staff-pajak/a1b8dc3d-a5fe-43fd-ad99-8e365e412ee3?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
